"id","MQ2","MQ7","MQ135","NO2","C2H5OH","VOC","CO","HMD","TMP","HI","RAWPM","DD","LAT","LON","time"
1,,,,,,,,,,,,,,,"2024-04-15 20:48:34.502307"
2,,,,,,,,,,,,,,,"2024-04-16 08:13:47.757913"
3,0.5,0.3,0.8,0.2,0.6,0.4,0.7,50.0,25.0,30.0,10.0,,40.7128,-74.006,"2024-04-16 08:25:06.314905"
4,0.5,0.3,0.8,0.2,0.6,0.5,0.9,50.0,25.0,30.0,10.0,,40.7128,-74.006,"2024-04-16 08:45:34.881288"
5,,,,,,,,,,,,,,,"2024-04-17 14:38:16.254065"
6,3.38,7.01,6.77,1.64,1.27,66.24,2.28,22.63,32.0,-10.47,,105.71,22.556973,88.4940996,"2024-04-18 10:05:28.982955"
7,8.42,1.33,8.17,0.58,35.02,36.65,21.51,26.13,32.0,7.82,,831.02,22.556973,88.4940996,"2024-04-18 10:05:35.623773"
8,6.39,2.27,2.99,1.99,17.42,47.21,76.8,68.22,32.0,18.08,,625.31,22.556973,88.4940996,"2024-04-18 10:05:42.796934"
9,9.96,7.47,8.71,2.22,42.26,12.26,63.87,27.69,32.0,35.49,,72.87,22.556973,88.4940996,"2024-04-18 10:05:49.344342"
10,1.01,5.49,0.74,0.22,58.28,11.65,78.79,90.43,32.0,49.58,,600.69,22.556973,88.4940996,"2024-04-18 10:05:55.259918"
11,1.07,5.43,7.48,1.44,3.94,56.16,103.31,97.2,32.0,26.77,,764.18,22.556973,88.4940996,"2024-04-18 10:06:03.658142"
12,4.35,9.53,5.14,5.72,47.33,19.4,114.0,49.09,32.0,-2.39,,245.21,22.556973,88.4940996,"2024-04-18 10:06:09.658632"
13,7.88,9.31,0.32,6.37,13.73,10.64,80.64,31.2,32.0,-9.85,,360.57,22.556973,88.4940996,"2024-04-18 10:06:16.037649"
14,4.8,5.52,0.15,2.34,28.88,47.01,32.0,38.65,32.0,42.49,,654.64,22.556973,88.4940996,"2024-04-18 10:06:22.110451"
15,0.48,4.4,8.81,6.5,29.23,6.55,111.83,95.97,32.0,21.81,,39.71,22.556973,88.4940996,"2024-04-18 10:06:28.019212"
16,1.25,6.12,9.1,5.24,6.26,42.08,4.07,77.04,32.0,26.22,,127.15,22.556973,88.4940996,"2024-04-18 10:06:34.079815"
17,7.6,9.19,3.64,6.34,42.18,54.74,101.08,48.67,32.0,48.74,,970.83,22.556973,88.4940996,"2024-04-18 10:06:39.871276"
18,4.17,8.63,0.62,5.39,0.51,33.04,41.91,67.61,32.0,0.59,,248.15,22.556973,88.4940996,"2024-04-18 10:06:45.951466"
19,1.02,6.29,3.94,5.16,88.15,14.36,18.25,2.48,32.0,11.62,,286.67,22.556973,88.4940996,"2024-04-18 10:06:52.095177"
20,0.54,2.21,8.18,1.79,20.05,53.9,52.29,12.68,32.0,29.99,,447.18,22.556973,88.4940996,"2024-04-18 10:06:58.079602"
21,5.59,8.68,9.94,1.6,83.01,45.79,42.79,7.06,32.0,37.59,,261.28,22.556973,88.4940996,"2024-04-18 10:07:04.016610"
22,0.4,0.24,5.07,2.53,36.97,53.04,99.08,62.58,32.0,-16.89,,140.77,22.556973,88.4940996,"2024-04-18 10:07:09.886503"
23,0.56,9.86,2.87,3.85,57.47,43.08,91.21,44.76,32.0,0.11,,88.96,22.556973,88.4940996,"2024-04-18 10:07:15.699679"
24,9.92,6.03,1.57,2.74,62.26,60.83,18.25,80.14,32.0,47.42,,924.77,22.556973,88.4940996,"2024-04-18 10:07:21.633479"
25,4.46,9.02,2.94,2.84,44.85,64.52,19.66,72.84,32.0,-6.24,,758.22,22.556973,88.4940996,"2024-04-18 10:07:27.516163"
26,2.39,8.14,1.32,4.04,10.32,38.78,36.98,96.36,32.0,9.09,,929.77,22.556973,88.4940996,"2024-04-18 10:07:33.285914"
